"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\Proposition\ProposeDialog.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 17, 190
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\BrandForm.js", "JavaScript", 0, 223, 0, 0, 0, 0, 0, 23, 246
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\DeliveryFormRadio.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 13, 127
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\colorForm.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 22, 195
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\costumTextfield.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\dropDownItem.js", "JavaScript", 0, 155, 0, 0, 0, 0, 0, 14, 169
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\errorText.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\sizeForm.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 14, 141
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\stateForm.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 16, 173
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\formUpload\uploadPicture.js", "JavaScript", 0, 32, 0, 0, 0, 0, 22, 5, 59
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\itemPreview\DialogProductPreview.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 7, 105
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\itemPreview\ImageGalleryPreview.js", "JavaScript", 0, 325, 0, 0, 0, 0, 0, 15, 340
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\itemPreview\ItemFromProfil.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 10, 136
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\itemPreview\ItemPreview.js", "JavaScript", 0, 190, 0, 0, 0, 0, 0, 16, 206
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\itemPreview\itemInformation.js", "JavaScript", 0, 237, 0, 0, 0, 0, 0, 24, 261
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\logicItems\displayImageMain.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 4, 58
